customer_id,city,locality,age_group,acquisition_channel,signup_date,is_app_user
C00001,Bengaluru,HSR Layout,35-44,influencer,2024-12-06 00:00:00,1
C00002,Bengaluru,Yelahanka,18-24,referral,2024-07-05 00:00:00,1
C00003,Bengaluru,Jayanagar,25-34,referral,2025-06-06 00:00:00,1
C00004,Bengaluru,Marathahalli,35-44,paid_app_install,2024-11-18 00:00:00,0
C00005,Bengaluru,Koramangala,25-34,coupon,2024-07-01 00:00:00,0
C00006,,Koramangala,45-54,organic,2026-01-12 00:00:00,1
C00007,Bengaluru,Indiranagar,25-34,referral,2024-10-10 00:00:00,1
C00008,Bengaluru,Electronic City,45-54,coupon,2024-06-14 00:00:00,1
C00009,Bengaluru,Marathahalli,25-34,influencer,2024-11-25 00:00:00,1
C00010,Bengaluru,Jayanagar,55+,organic,2024-07-23 00:00:00,1
C00011,Bengaluru,Indiranagar,55+,influencer,2025-03-21 00:00:00,1
C00012,Bengaluru,Yelahanka,25-34,word_of_mouth,2025-04-03 00:00:00,1
C00013,Bengaluru,Bellandur,45-54,paid_app_install,2026-03-31 00:00:00,1
C00014,Bengaluru,Koramangala,35-44,paid_app_install,2024-10-04 00:00:00,1
C00015,Bengaluru,Koramangala,25-34,organic,2024-09-18 00:00:00,0
C00016,,Koramangala,35-44,coupon,2025-02-08 00:00:00,1
C00017,Bengaluru,HSR Layout,18-24,influencer,2024-06-26 00:00:00,1
C00018,Bengaluru,BTM Layout,35-44,Coupon,2024-10-21 00:00:00,1
C00019,Bengaluru,Whitefield,18-24,referral,2024-10-21 00:00:00,1
C00020,,HSR Layout,18-24,Organic,2024-06-17 00:00:00,1
C00021,Bengaluru,Marathahalli,25-34,referral,2024-09-06 00:00:00,1
C00022,Bengaluru,Indiranagar,25-34,organic,2025-05-12 00:00:00,1
C00023,Bengaluru,HSR Layout,45-54,paid_app_install,2025-05-16 00:00:00,0
C00024,Bengaluru,HSR Layout,55+,word_of_mouth,2024-06-19 00:00:00,1
C00025,Bengaluru,Whitefield,25-34,influencer,2024-06-18 00:00:00,1
C00026,Bengaluru,Bellandur,18-24,Coupon,2024-07-25 00:00:00,1
C00027,Bengaluru,Koramangala,35-44,referral,2025-06-09 00:00:00,0
C00028,Bengaluru,BTM Layout,25-34,paid_app_install,2024-06-25 00:00:00,1
C00029,Bengaluru,Marathahalli,25-34,paid_app_install,2025-01-16 00:00:00,1
C00030,Bengaluru,Indiranagar,25-34,Paid_App_Install,2024-06-20 00:00:00,0
C00031,Bengaluru,Marathahalli,25-34,referral,2024-11-23 00:00:00,0
C00032,Bengaluru,Koramangala,25-34,influencer,2024-08-19 00:00:00,1
C00033,Bengaluru,Indiranagar,35-44,paid_app_install,2025-03-07 00:00:00,1
C00034,Bengaluru,Yelahanka,25-34,Organic,2024-07-18 00:00:00,1
C00035,Bengaluru,Yelahanka,45-54,paid_app_install,2024-12-01 00:00:00,1
C00036,Bengaluru,Bellandur,25-34,word_of_mouth,2024-07-19 00:00:00,1
C00037,Bengaluru,HSR Layout,25-34,referral,2025-01-12 00:00:00,1
C00038,Bengaluru,Indiranagar,45-54,Paid_App_Install,2025-06-08 00:00:00,1
C00039,Bengaluru,Jayanagar,25-34,paid_app_install,2024-06-25 00:00:00,1
C00040,Bengaluru,Whitefield,25-34,influencer,2025-05-29 00:00:00,0
C00041,Bengaluru,Indiranagar,35-44,influencer,2024-11-10 00:00:00,1
C00042,Bengaluru,BTM Layout,25-34,coupon,2024-06-25 00:00:00,1
C00043,Bengaluru,Indiranagar,35-44,referral,2024-09-09 00:00:00,0
C00044,Bengaluru,Electronic City,25-34,Organic,2024-07-02 00:00:00,1
C00045,Bengaluru,Koramangala,35-44,paid_app_install,2025-01-03 00:00:00,1
C00046,Bengaluru,Marathahalli,18-24,influencer,2025-02-12 00:00:00,1
C00047,Bengaluru,HSR Layout,25-34,paid_app_install,2024-06-21 00:00:00,1
C00048,Bengaluru,BTM Layout,55+,ORGANIC,2024-10-05 00:00:00,1
C00049,Bengaluru,BTM Layout,35-44,organic,2025-03-31 00:00:00,1
C00050,,Koramangala,18-24,coupon,2025-10-09 00:00:00,1
C00051,Bengaluru,Yelahanka,25-34,organic,2024-10-08 00:00:00,1
C00052,Bengaluru,Bellandur,25-34,PAID_APP_INSTALL,2025-11-23 00:00:00,1
C00053,Bengaluru,Yelahanka,35-44,paid_app_install,2024-10-17 00:00:00,1
C00054,Bengaluru,Electronic City,35-44,paid_app_install,2024-08-30 00:00:00,1
C00055,Bengaluru,Marathahalli,35-44,organic,2025-05-06 00:00:00,1
C00056,Bengaluru,Electronic City,25-34,influencer,2024-10-01 00:00:00,0
C00057,Bengaluru,Indiranagar,35-44,coupon,2024-09-23 00:00:00,1
C00058,Bengaluru,Koramangala,25-34,referral,2024-09-30 00:00:00,1
C00059,Bengaluru,Indiranagar,18-24,referral,2025-05-04 00:00:00,1
C00060,Bengaluru,HSR Layout,25-34,referral,2025-04-18 00:00:00,1
C00061,Bengaluru,HSR Layout,55+,organic,2024-09-02 00:00:00,1
C00062,Bengaluru,HSR Layout,35-44,coupon,2024-08-12 00:00:00,1
C00063,Bengaluru,Bellandur,25-34,Coupon,2024-09-30 00:00:00,1
C00064,Bengaluru,HSR Layout,35-44,WORD_OF_MOUTH,2024-11-01 00:00:00,1
C00065,Bengaluru,HSR Layout,45-54,influencer,2024-07-20 00:00:00,1
C00066,Bengaluru,BTM Layout,25-34,paid_app_install,2025-03-12 00:00:00,1
C00067,Bengaluru,Koramangala,25-34,organic,2024-09-28 00:00:00,1
C00068,Bengaluru,Bellandur,55+,influencer,2024-08-13 00:00:00,1
C00069,Bengaluru,Indiranagar,45-54,Influencer,2024-06-21 00:00:00,0
C00070,Bengaluru,Yelahanka,25-34,Coupon,2024-07-20 00:00:00,1
C00071,,Bellandur,25-34,Paid_App_Install,2025-11-19 00:00:00,0
C00072,Bengaluru,Koramangala,25-34,coupon,2024-08-05 00:00:00,1
C00073,Bengaluru,Indiranagar,18-24,coupon,2024-07-04 00:00:00,1
C00074,Bengaluru,Bellandur,55+,Coupon,2024-09-20 00:00:00,1
C00075,Bengaluru,Jayanagar,25-34,organic,2024-08-06 00:00:00,1
C00076,Bengaluru,Jayanagar,45-54,paid_app_install,2024-06-07 00:00:00,1
C00077,Bengaluru,Bellandur,25-34,influencer,2024-08-10 00:00:00,1
C00078,Bengaluru,Indiranagar,25-34,referral,2024-10-20 00:00:00,1
C00079,Bengaluru,HSR Layout,18-24,organic,2024-10-23 00:00:00,1
C00080,Bengaluru,Indiranagar,35-44,INFLUENCER,2024-08-19 00:00:00,1
C00081,Bengaluru,Electronic City,25-34,REFERRAL,2024-09-15 00:00:00,0
C00082,Bengaluru,Marathahalli,35-44,referral,2026-01-28 00:00:00,1
