delivery_id,order_id,store_id,rider_id,order_ts,pickup_ts,delivery_ts,promised_mins,actual_mins,pick_pack_mins,distance_km,is_late,is_rainy
D00000000,O00000001,S001,R072,2025-12-01 06:46:34,2025-12-01 06:50:34,2025-12-01 07:03:40,30,17.1,4,2.05,0,0
D00000004,O00000002,S001,R021,2025-12-01 21:00:57,2025-12-01 21:06:57,2025-12-01 21:21:27,30,20.5,6,1.73,0,0
D00000006,O00000003,S001,R088,2025-12-01 13:38:04,2025-12-01 13:42:04,2025-12-01 13:47:04,30,9,4,1.68,0,0
D00000009,O00000004,S001,R100,2025-12-01 08:25:47,2025-12-01 08:31:47,2025-12-01 08:44:17,30,18.5,6,1.68,0,0
D00000013,O00000005,S001,R002,2025-12-01 18:44:03,2025-12-01 18:50:03,2025-12-01 19:03:45,30,19.7,6,2,0,0
D00000017,O00000006,S001,R158,2025-12-01 20:12:11,2025-12-01 20:17:11,2025-12-01 20:30:35,30,18.4,5,1.34,0,0
D00000019,O00000007,S001,R161,2025-12-01 09:09:25,2025-12-01 09:15:25,2025-12-01 09:18:43,30,9.3,6,1.51,0,0
D00000021,O00000008,S001,R058,2025-12-01 19:35:09,2025-12-01 19:40:09,2025-12-01 19:50:39,30,15.5,5,1.54,0,No
D00000022,O00000009,S001,R059,2025-12-02 13:19:47,2025-12-02 13:21:47,2025-12-02 13:28:11,30,8.4,2,0.5,0,No
D00000026,O00000010,S001,R170,2025-12-02 20:35:52,2025-12-02 20:43:52,2025-12-02 20:51:22,30,15.5,8,2.28,0,0
D00000027,O00000011,S001,R051,2025-12-02 12:38:13,2025-12-02 12:45:13,2025-12-02 12:44:55,30,6.7,7,1.67,0,No
D00000030,O00000012,S001,R055,2025-12-02 22:08:49,2025-12-02 22:13:49,2025-12-02 22:27:07,30,18.3,5,1.72,0,0
D00000032,O00000013,S001,R051,2025-12-02 21:06:24,2025-12-02 21:12:24,2025-12-02 21:19:12,30,12.8,6,1.79,0,0
D00000035,O00000014,S001,R021,2025-12-02 15:57:19,2025-12-02 16:05:19,2025-12-02 16:13:31,30,16.2,8,1.98,0,0
